iter	Passed	Remaining
0	18	9192
1	20	5023
2	21	3633
3	23	2946
4	25	2527
5	27	2244
6	28	2040
7	30	1889
8	32	1770
9	34	1677
10	35	1598
11	37	1532
12	39	1476
13	41	1428
14	42	1385
15	43	1322
16	45	1291
17	47	1262
18	49	1240
19	50	1218
20	52	1198
21	54	1178
22	55	1161
23	57	1145
24	59	1130
25	61	1117
26	62	1103
27	64	1092
28	66	1082
29	68	1076
30	70	1067
31	72	1057
32	74	1048
33	75	1041
34	77	1032
35	79	1025
36	81	1016
37	83	1009
38	84	1002
39	86	994
40	88	987
41	90	981
42	91	975
43	93	968
44	95	962
45	96	957
46	98	952
47	100	946
48	102	941
49	103	935
50	105	930
51	107	925
52	109	920
53	110	916
54	112	912
55	114	907
56	116	903
57	117	898
58	119	895
59	121	891
60	123	887
61	125	883
62	126	879
63	128	874
64	130	871
65	131	867
66	133	863
67	135	860
68	137	856
69	138	853
70	140	849
71	142	846
72	144	842
73	145	839
74	147	835
75	149	832
76	151	829
77	152	826
78	154	823
79	156	819
80	157	816
81	159	813
82	161	810
83	163	807
84	164	804
85	166	801
86	168	799
87	170	796
88	171	793
89	173	790
90	175	787
91	176	784
92	178	781
93	180	778
94	182	776
95	183	773
96	185	771
97	187	768
98	189	766
99	190	763
100	192	761
101	194	758
102	196	755
103	197	753
104	199	750
105	201	748
106	203	745
107	204	743
108	206	741
109	208	738
110	210	736
111	211	734
112	213	732
113	215	729
114	217	727
115	218	724
116	220	722
117	222	720
118	224	718
119	226	716
120	228	714
121	229	711
122	231	709
123	233	707
124	235	705
125	236	703
126	238	701
127	240	698
128	242	696
129	244	694
130	245	692
131	247	690
132	249	687
133	251	685
134	252	683
135	254	681
136	256	679
137	258	677
138	259	674
139	261	672
140	263	670
141	265	668
142	267	666
143	268	664
144	270	662
145	272	660
146	274	658
147	276	656
148	277	654
149	279	652
150	281	650
151	283	648
152	285	646
153	286	644
154	288	642
155	290	640
156	292	638
157	293	636
158	295	634
159	297	631
160	299	629
161	300	627
162	302	625
163	304	623
164	306	621
165	308	619
166	309	617
167	311	615
168	313	613
169	315	611
170	317	609
171	318	607
172	320	605
173	322	603
174	323	601
175	325	599
176	327	597
177	329	595
178	330	593
179	332	591
180	334	589
181	336	587
182	337	585
183	339	583
184	341	581
185	343	579
186	344	577
187	346	575
